ID,comment
283,အသည်းကွဲတဲ့သူတိုင်း ပြန်ဆုံစည်းဖို့ မန့်တွေမှာ ပြန်လည်တွေ့နိင်ပါစေ🥹ချစ်ရတဲ့သူကို ငါနာမည်တတ်တူးကိုငါကိုတိုင်းထိုးပေးခဲ့ဘူးတယ်
284,ပြန်ရောက်သွားသလိုဘဲ
285,😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊🤩🤩🤩🤩🤩🤩🥲🙃🙃🙃🙃🙃🙃🙃🙃🥲🥲🥲🥲🥲🥲
286,မချစ်သင့်တဲ့လူကိုမချစ်ဖို့ ဦးနှောက်ကတားနေပေမဲ့ နှလုံးသားကရှေ့ပဲဆက်တိုးနေတာ နာကျင်ရမယ်မှန်းသိနေလဲ ရှေ့ဆက်တိုးနေမိပြန်ရော😢
287,💔
288,ဆောင်းရာသီရောင်းတိုင်းထိပ်ဆုံးကနားထောင်မိတဲ့သီချင်း
289,ဆောင်း၀င်တိုင်းပြန်နားထောင်ဖြစ်တဲ့ သီချင်းလေး
290,ဒီသီချင်းကဆောင်းတွင်းဆိုခံစားရပြီ
291,အားလုံး  ပဲ
292,ဆောင်းတွင်းရောက်တိုင်းနားထောင်မိတဲ့သီချင်းလေး ဘယ်တော့မှမမေ့ဘူး
293,ဆောင်းရာသီရောက်တိုင်းဒီသီချင်းကိုနားထောင်ဖစ်တယ်ဒီသီချင်းကိုကြားတိုင်းတစ်စုံတစ်ယောက်နက် ရှိခဲ့တဲ့ဆောင်းအငွေ့အသက်ကိုသတိရမိတယ် နွေးထွေးမှုတွေကိုရောပေါ့😊
294,ဒီသချင်းလေးကြားတော့အမှတ်တရတွေတောင်သတိရသွားတယ်😢
295,သူသာရှိနေရင်သိမ်းကောင်းမာပဲ💔
296,ဆောင်းတွင်းမှာ အကိုမရှိတော့ပိုပြီးတော့အေးစက်နိုင်ပြီ😭
297,အရမ်လွမ်းပါတယ်
298,တကယ်အကိုကိုကျွန်မလွမ်းတဲ့စိတ်လေရှိနေတုန်းပဲ😢😢😢
299,အရမ်းလွမ်းတယ်ကျော့ဝတီ💔
300,ရေးးးးဟေးးးဟေးးးးဆိုတဲ့နေရာမှာ အဲ့လိုအဆုံးမသတ်လိုက်ဘဲ အော်ဆိုရတဲ့အပိုင်းဆိုရင်ပိုမိုက်မယ်ထင်တယ်
